feedback_id,NIM,feedback,sentimen,sentiment_score,Tanggal Feedback,Angkatan,Program Studi
1,1101,Pelayanan administrasi sangat cepat dan membantu,Positif,1,3/11/2024,2021,Sistem Informasi
2,1102,Dosen menjelaskan materi dengan jelas dan mudah dipahami,Positif,1,3/17/2024,2021,Teknik Mesin
3,1103,Fasilitas perpustakaan lengkap dan nyaman,Positif,1,4/5/2024,2022,Sistem Informasi
4,1104,WiFi kampus berjalan lancar selama perkuliahan,Positif,1,3/29/2024,2021,Teknik Elektro
5,1105,Ruang kelas bersih dan nyaman digunakan,Positif,1,2/21/2024,2021,Teknik Elektro
6,1106,Proses KRS berlangsung dengan mudah,Positif,1,3/16/2024,2023,Teknik Elektro
7,1107,Petugas akademik ramah kepada mahasiswa,Positif,1,4/9/2024,2021,Sistem Informasi
8,1108,Materi kuliah sesuai dengan kebutuhan industri,Positif,1,4/13/2024,2022,Sistem Informasi
9,1109,Laboratorium memiliki peralatan yang memadai,Positif,1,3/24/2024,2023,Teknik Informatika
10,1110,Informasi akademik disampaikan dengan jelas,Positif,1,3/15/2024,2024,Teknik Mesin
11,1111,Jadwal kuliah tersusun dengan baik,Positif,1,4/2/2024,2022,Teknik Informatika
12,1112,Aplikasi akademik sangat membantu proses belajar,Positif,1,2/28/2024,2022,Sistem Informasi
13,1113,Kegiatan organisasi kampus sangat bermanfaat,Positif,1,3/25/2024,2024,Teknik Mesin
14,1114,Area parkir cukup luas dan tertata,Positif,1,3/6/2024,2022,Teknik Mesin
15,1115,Kampus menyediakan banyak kegiatan pengembangan diri,Positif,1,3/19/2024,2024,Teknik Informatika
16,1116,Pelayanan perpustakaan sangat memuaskan,Positif,1,3/10/2024,2024,Teknik Mesin
17,1117,Dosen responsif terhadap pertanyaan mahasiswa,Positif,1,4/14/2024,2022,Teknik Mesin
18,1118,Proses pembayaran kuliah mudah dilakukan,Positif,1,3/31/2024,2021,Teknik Informatika
19,1119,Fasilitas olahraga kampus cukup lengkap,Positif,1,4/4/2024,2021,Teknik Informatika
20,1120,Lingkungan kampus nyaman untuk belajar,Positif,1,3/2/2024,2024,Teknik Informatika
21,1121,Materi praktikum sangat membantu pemahaman,Positif,1,4/1/2024,2023,Sistem Informasi
22,1122,Seminar kampus memberikan wawasan baru,Positif,1,3/20/2024,2024,Sistem Informasi
23,1123,Petugas keamanan kampus bekerja dengan baik,Positif,1,4/6/2024,2024,Sistem Informasi
24,1124,Fasilitas kelas mendukung kegiatan belajar,Positif,1,4/7/2024,2024,Sistem Informasi
25,1125,Program magang kampus sangat membantu mahasiswa,Positif,1,3/23/2024,2021,Sistem Informasi
26,1126,Komunikasi antara dosen dan mahasiswa berjalan baik,Positif,1,4/8/2024,2021,Sistem Informasi
27,1127,Website kampus mudah digunakan,Positif,1,3/13/2024,2021,Teknik Elektro
28,1128,Pelayanan bagian keuangan sangat baik,Positif,1,3/28/2024,2024,Teknik Elektro
29,1129,Ruang diskusi mahasiswa tersedia dengan baik,Positif,1,3/27/2024,2023,Sistem Informasi
30,1130,Proses pengajuan surat berlangsung cepat,Positif,1,2/26/2024,2021,Sistem Informasi
31,1131,Pembelajaran berlangsung interaktif,Positif,1,3/22/2024,2022,Sistem Informasi
32,1132,Laboratorium komputer berfungsi dengan baik,Positif,1,3/3/2024,2022,Teknik Informatika
33,1133,Fasilitas kampus terus mengalami peningkatan,Positif,1,3/26/2024,2022,Teknik Informatika
34,1134,Pengumuman akademik selalu tepat waktu,Positif,1,3/8/2024,2024,Teknik Informatika
35,1135,Pelayanan pusat karier sangat membantu,Positif,1,4/10/2024,2022,Sistem Informasi
36,1136,Ruang tunggu mahasiswa nyaman digunakan,Positif,1,3/12/2024,2024,Teknik Elektro
37,1137,Materi pembelajaran mudah diakses secara online,Positif,1,3/5/2024,2022,Teknik Elektro
38,1138,Program beasiswa disosialisasikan dengan baik,Positif,1,4/11/2024,2023,Teknik Elektro
39,1139,Pelayanan kesehatan kampus memuaskan,Positif,1,3/21/2024,2024,Teknik Elektro
40,1140,Pengalaman belajar di kampus sangat menyenangkan,Positif,1,3/14/2024,2022,Teknik Elektro
41,1141,Dosen memberikan umpan balik yang bermanfaat,Positif,1,2/27/2024,2021,Sistem Informasi
42,1142,Fasilitas ibadah kampus sangat baik,Positif,1,4/12/2024,2024,Ilmu Komputer
43,1143,Staf kampus membantu menyelesaikan masalah mahasiswa,Positif,1,3/4/2024,2021,Sistem Informasi
44,1144,Proses administrasi akademik cukup efisien,Positif,1,3/7/2024,2021,Teknik Informatika
45,1145,Peralatan praktikum dalam kondisi baik,Positif,1,3/9/2024,2021,Teknik Komputer
46,1146,Pelayanan kampus semakin modern,Positif,1,4/3/2024,2021,Teknik Komputer
47,1147,Suasana belajar sangat kondusif,Positif,1,3/18/2024,2022,Teknik Informatika
48,1148,Informasi kegiatan mahasiswa mudah diperoleh,Positif,1,3/30/2024,2022,Sistem Informasi
49,1149,Pelayanan akademik sangat profesional,Positif,1,4/15/2024,2024,Teknik Komputer
50,1150,Program pertukaran mahasiswa sangat menarik,Positif,1,3/17/2024,2024,Sistem Informasi
51,1101,Workshop kampus menambah keterampilan mahasiswa,Positif,1,2/18/2024,2024,Sistem Informasi
